Raza	Edad	Peso	Altura	Tension	Hermanos
Blanca	24	58.5	156	120	5
Negra	26	62.2	175	98	4
Blanca	62	61.4	165	76	5
Blanca	31	67.5	169	84	2
Asiatica	34	71.3	171	68	1
Negra	65	69.1	150	80	0
Negra	76	NA	190	95	6
Blanca	32	56.7	156	86	3
Blanca	12	43.4	130	76	7
Blanca	56	82.2	178	89	4
Asiatica	45	56.7	145	78	3
Negra	32	43.7	167	87	1
Negra	65	67.9	175	86	2
Asiatica	76	76.3	158	67	5
Blanca	54	75.5	190	79	3
Blanca	34	45.8	145	97	3
Asiatica	65	61.2	167	100	3
Negra	76	57.3	173	87	2
Blanca	54	67.3	176	67	1
Negra	65	54.9	180	34	2
Negra	76	64.2	176	26	1
Asiatica	74	45.8	154	65	1
